Gene,p Value,False Discovery Rate,Average Difference log fold change,Fraction of Detection in Cluster,Fraction of Detection in Other Clusters,Cluster
AUTS2,0.00,0.00,0.67,0.77,0.54,Purk1
TBC1D4,0.00,0.00,0.94,0.35,0.09,Purk1
GRID1,0.00,0.00,0.81,0.57,0.26,Purk1
PAK7,0.00,0.00,0.88,0.52,0.23,Purk1
GRM8,0.00,0.00,0.95,0.34,0.10,Purk1
CA10,0.00,0.00,0.61,0.63,0.30,Purk1
ZNF536,0.00,0.00,0.55,0.44,0.17,Purk1
PPM1L,0.00,0.00,0.84,0.57,0.30,Purk1
ADRBK2,0.00,0.00,0.96,0.45,0.18,Purk1
ZBTB20,0.00,0.00,0.41,0.69,0.37,Purk1
MYT1L,0.00,0.00,0.68,0.75,0.52,Purk1
DNAH14,0.00,0.00,0.90,0.29,0.07,Purk1
EGFEM1P,0.00,0.00,0.69,0.34,0.10,Purk1
GALNT14,0.00,0.00,0.90,0.33,0.09,Purk1
PPP2R3A,0.00,0.00,0.81,0.31,0.08,Purk1
APPL2,0.00,0.00,0.85,0.33,0.09,Purk1
SNTG1,0.00,0.00,0.54,0.84,0.59,Purk1
TRPM3,0.00,0.00,0.54,0.60,0.30,Purk1
DPF3,0.00,0.00,0.75,0.28,0.07,Purk1
XIST,0.00,0.00,0.64,0.39,0.14,Purk1
BCAN,0.00,0.00,0.71,0.26,0.06,Purk1
GALNT18,0.00,0.00,0.85,0.51,0.24,Purk1
EPB41,0.00,0.00,0.80,0.37,0.12,Purk1
RBMS1,0.00,0.00,0.84,0.31,0.09,Purk1
SLC6A1,0.00,0.00,0.63,0.41,0.15,Purk1
HIPK2,0.00,0.00,0.53,0.32,0.11,Purk1
ADAM11,0.00,0.00,0.77,0.32,0.11,Purk1
ELMOD1,0.00,0.00,0.84,0.41,0.18,Purk1
CADM3,0.00,0.00,0.73,0.38,0.14,Purk1
ITGAV,0.00,0.00,0.69,0.27,0.07,Purk1
NEAT1,0.00,0.00,0.28,0.45,0.21,Purk1
ATP1A3,0.00,0.00,0.79,0.35,0.13,Purk1
ZNF608,0.00,0.00,0.74,0.30,0.09,Purk1
PKP4,0.00,0.00,0.69,0.53,0.26,Purk1
SYNDIG1,0.00,0.00,0.68,0.46,0.21,Purk1
VWA8,0.00,0.00,0.75,0.45,0.20,Purk1
PPM1H,0.00,0.00,0.67,0.43,0.19,Purk1
ERC1,0.00,0.00,0.58,0.64,0.38,Purk1
PTPRR,0.00,0.00,0.69,0.49,0.24,Purk1
GAD1,0.00,0.00,0.62,0.33,0.12,Purk1
RGS7BP,0.00,0.00,0.73,0.34,0.13,Purk1
AFF3,0.00,0.00,0.62,0.60,0.36,Purk1
SLC8A3,0.00,0.00,0.75,0.32,0.11,Purk1
DGKI,0.00,0.00,0.65,0.55,0.33,Purk1
CACNB4,0.00,0.00,0.61,0.60,0.35,Purk1
GABRA1,0.00,0.00,0.68,0.50,0.28,Purk1
HCN1,0.00,0.00,0.64,0.60,0.38,Purk1
AMPH,0.00,0.00,0.75,0.41,0.19,Purk1
NFIB,0.00,0.00,0.63,0.47,0.22,Purk1
SPATS2L,0.00,0.00,0.73,0.40,0.19,Purk1
SLC35F4,0.00,0.00,0.59,0.26,0.08,Purk1
ASTN2,0.00,0.00,0.57,0.63,0.38,Purk1
HIVEP3,0.00,0.00,0.64,0.56,0.31,Purk1
IQCA1,0.00,0.00,0.76,0.28,0.10,Purk1
TSPAN5,0.00,0.00,0.60,0.57,0.33,Purk1
LINC00969,0.00,0.00,0.64,0.34,0.14,Purk1
MPPED2,0.00,0.00,0.68,0.30,0.11,Purk1
CEP126,0.00,0.00,0.68,0.38,0.17,Purk1
JARID2,0.00,0.00,0.61,0.33,0.13,Purk1
GRM3,0.00,0.00,0.31,0.44,0.23,Purk1
PLCXD3,0.00,0.00,0.58,0.30,0.12,Purk1
FAM135B,0.00,0.00,0.64,0.34,0.15,Purk1
MAN1A1,0.00,0.00,0.67,0.30,0.11,Purk1
NTM,0.00,0.00,0.29,0.79,0.63,Purk1
GALNT13,0.00,0.00,0.39,0.52,0.30,Purk1
EPHB1,0.00,0.00,0.58,0.35,0.16,Purk1
SPOCK2,0.00,0.00,0.67,0.32,0.13,Purk1
GALNT7,0.00,0.00,0.60,0.27,0.10,Purk1
MLLT4,0.00,0.00,0.50,0.33,0.15,Purk1
APBA1,0.00,0.00,0.60,0.39,0.19,Purk1
CCDC91,0.00,0.00,0.64,0.38,0.19,Purk1
SCLT1,0.00,0.00,0.60,0.42,0.23,Purk1
PTPN4,0.00,0.00,0.56,0.46,0.26,Purk1
DSCAML1,0.00,0.00,0.36,0.45,0.26,Purk1
NRG2,0.00,0.00,0.59,0.31,0.14,Purk1
MIR99AHG,0.00,0.00,0.38,0.57,0.38,Purk1
LRRC49,0.00,0.00,0.48,0.29,0.13,Purk1
SLC8A1,0.00,0.00,0.42,0.65,0.45,Purk1
PTCHD4,0.00,0.00,0.47,0.28,0.12,Purk1
MSI2,0.00,0.00,0.31,0.33,0.17,Purk1
TENM1,0.00,0.00,0.42,0.32,0.16,Purk1
PRMT8,0.00,0.00,0.63,0.28,0.13,Purk1
ADCY8,0.00,0.00,0.47,0.26,0.11,Purk1
ADAM22,0.00,0.00,0.52,0.45,0.27,Purk1
PCCA,0.00,0.00,0.54,0.35,0.18,Purk1
GABRG2,0.00,0.00,0.55,0.37,0.21,Purk1
GPC6,0.00,0.00,0.45,0.41,0.22,Purk1
PBX1,0.00,0.00,0.52,0.48,0.30,Purk1
WBSCR17,0.00,0.00,0.49,0.52,0.34,Purk1
UTRN,0.00,0.00,0.54,0.25,0.11,Purk1
TP53BP1,0.00,0.00,0.52,0.29,0.14,Purk1
PAM,0.00,0.00,0.49,0.45,0.27,Purk1
JMJD1C,0.00,0.00,0.35,0.75,0.58,Purk1
NTNG1,0.00,0.00,0.32,0.27,0.13,Purk1
FHOD3,0.00,0.00,0.49,0.31,0.16,Purk1
CNTN4,0.00,0.00,0.33,0.60,0.41,Purk1
SLC4A8,0.00,0.00,0.43,0.34,0.18,Purk1
DGKB,0.00,0.00,0.40,0.59,0.40,Purk1
GPHN,0.00,0.00,0.34,0.71,0.59,Purk1
PTPRM,0.00,0.00,0.36,0.33,0.18,Purk1
FSTL4,0.00,0.00,0.36,0.44,0.27,Purk1
CAMK2D,0.00,0.00,0.31,0.35,0.20,Purk1
RALGAPA2,0.00,0.00,0.39,0.26,0.13,Purk1
CSMD2,0.00,0.00,0.47,0.42,0.27,Purk1
IQSEC1,0.00,0.00,0.53,0.30,0.16,Purk1
CAMK4,0.00,0.00,0.33,0.44,0.28,Purk1
TRIM9,0.00,0.00,0.39,0.62,0.46,Purk1
ARHGAP32,0.00,0.00,0.44,0.47,0.31,Purk1
FER,0.00,0.00,0.35,0.41,0.26,Purk1
SYNE1,0.00,0.00,0.33,0.66,0.52,Purk1
ANKH,0.00,0.00,0.41,0.31,0.17,Purk1
CADM1,0.00,0.00,0.27,0.46,0.31,Purk1
NLGN4X,0.00,0.00,0.45,0.35,0.21,Purk1
ST8SIA5,0.00,0.00,0.52,0.30,0.18,Purk1
SUPT3H,0.00,0.00,0.43,0.39,0.24,Purk1
C2CD5,0.00,0.00,0.44,0.35,0.21,Purk1
RNF115,0.00,0.00,0.47,0.28,0.15,Purk1
MYO6,0.00,0.00,0.30,0.38,0.25,Purk1
SORBS1,0.00,0.00,0.37,0.52,0.37,Purk1
KIRREL3,0.00,0.00,0.36,0.50,0.35,Purk1
RALGPS1,0.00,0.00,0.46,0.29,0.16,Purk1
RCAN2,0.00,0.00,0.29,0.42,0.28,Purk1
MAP3K13,0.00,0.00,0.46,0.33,0.21,Purk1
SYN2,0.00,0.00,0.37,0.53,0.40,Purk1
ANKS1A,0.00,0.00,0.37,0.30,0.17,Purk1
CCDC136,0.00,0.00,0.42,0.27,0.15,Purk1
PARK2,0.00,0.00,0.34,0.46,0.31,Purk1
CPEB4,0.00,0.00,0.35,0.39,0.25,Purk1
TTC28,0.00,0.00,0.27,0.35,0.23,Purk1
CLVS1,0.00,0.00,0.46,0.27,0.16,Purk1
GRAMD1B,0.00,0.00,0.41,0.29,0.17,Purk1
TIMM23B,0.00,0.00,0.38,0.29,0.17,Purk1
PLXNA4,0.00,0.00,0.40,0.35,0.22,Purk1
DYNC1I1,0.00,0.00,0.37,0.46,0.32,Purk1
DENND5B,0.00,0.00,0.38,0.37,0.25,Purk1
MTCL1,0.00,0.00,0.28,0.28,0.16,Purk1
EFNA5,0.00,0.00,0.39,0.42,0.29,Purk1
ERC2,0.00,0.00,0.27,0.60,0.46,Purk1
ARHGAP5,0.00,0.00,0.26,0.28,0.17,Purk1
RBFOX2,0.00,0.00,0.34,0.50,0.37,Purk1
ASTN1,0.00,0.00,0.34,0.38,0.25,Purk1
MEF2C-AS1,0.00,0.00,0.39,0.38,0.26,Purk1
LINC00599,0.00,0.00,0.36,0.39,0.26,Purk1
UPF3B,0.00,0.00,0.38,0.26,0.15,Purk1
ZNF609,0.00,0.00,0.31,0.30,0.18,Purk1
PTPRT,0.00,0.00,0.34,0.42,0.29,Purk1
TTBK2,0.00,0.00,0.26,0.29,0.18,Purk1
MCF2L2,0.00,0.00,0.30,0.30,0.19,Purk1
KANSL1,0.00,0.00,0.32,0.40,0.28,Purk1
SLC38A1,0.00,0.00,0.44,0.27,0.17,Purk1
SLC12A5,0.00,0.00,0.38,0.30,0.20,Purk1
ZNF804B,0.00,0.00,0.25,0.33,0.22,Purk1
ELP4,0.00,0.00,0.35,0.26,0.16,Purk1
CPEB3,0.00,0.00,0.26,0.33,0.22,Purk1
NOL4,0.00,0.00,0.30,0.29,0.19,Purk1
TNRC6A,0.00,0.00,0.29,0.46,0.33,Purk1
AHI1,0.00,0.00,0.26,0.64,0.52,Purk1
UNC80,0.00,0.00,0.28,0.45,0.33,Purk1
KLF12,0.00,0.00,0.30,0.36,0.25,Purk1
OSBP2,0.00,0.00,0.26,0.36,0.26,Purk1
NEK1,0.00,0.00,0.27,0.30,0.20,Purk1
MSRA,0.00,0.00,0.26,0.51,0.39,Purk1
EFR3A,0.00,0.00,0.30,0.27,0.18,Purk1
MYH10,0.00,0.00,0.31,0.38,0.27,Purk1
GSK3B,0.00,0.00,0.25,0.30,0.20,Purk1
ATP8A2,0.00,0.00,0.25,0.49,0.38,Purk1
TMEM178A,0.00,0.00,0.26,0.32,0.22,Purk1
LRBA,0.00,0.00,0.34,0.29,0.20,Purk1
TNRC6B,0.00,0.00,0.26,0.50,0.38,Purk1
ZFYVE28,0.00,0.00,0.35,0.28,0.18,Purk1
EPB41L3,0.00,0.00,0.26,0.34,0.24,Purk1
GOLGA8B,0.00,0.00,0.28,0.30,0.20,Purk1
SSBP2,0.00,0.00,0.31,0.38,0.27,Purk1
KCND3,0.00,0.00,0.33,0.33,0.23,Purk1
CAMSAP2,0.00,0.00,0.26,0.36,0.26,Purk1
SORL1,0.00,0.00,0.28,0.30,0.21,Purk1
NALCN,0.00,0.00,0.26,0.43,0.32,Purk1
CUX2,0.00,0.00,0.30,0.25,0.17,Purk1
ADCY1,0.00,0.00,0.28,0.34,0.25,Purk1
XKR6,0.00,0.00,0.29,0.39,0.30,Purk1
KTN1,0.00,0.00,0.32,0.32,0.23,Purk1
DGCR5,0.00,0.00,0.32,0.33,0.24,Purk1
SPTBN4,0.00,0.00,0.27,0.39,0.30,Purk1
APLP2,0.00,0.00,0.26,0.29,0.21,Purk1
LINC00461,0.00,0.00,0.25,0.34,0.25,Purk1
RBM6,0.00,0.00,0.29,0.38,0.30,Purk1
SYP,0.00,0.00,0.25,0.33,0.25,Purk1
SRRM2,0.00,0.00,0.25,0.39,0.30,Purk1
NEDD4L,0.00,0.00,0.28,0.29,0.21,Purk1
ZCCHC7,0.00,0.00,0.27,0.30,0.23,Purk1
GPATCH8,0.00,0.00,0.26,0.43,0.34,Purk1
TMCC1,0.00,0.00,0.29,0.28,0.21,Purk1
PPM1E,0.00,0.00,0.26,0.29,0.23,Purk1
GRID2,0.00,0.00,1.95,0.98,0.44,Purk2
RORA,0.00,0.00,1.83,0.98,0.59,Purk2
INPP4B,0.00,0.00,2.00,0.89,0.24,Purk2
UNC5C,0.00,0.00,1.87,0.91,0.34,Purk2
GRM1,0.00,0.00,1.96,0.84,0.18,Purk2
VCAN,0.00,0.00,2.10,0.72,0.06,Purk2
SYN3,0.00,0.00,1.60,0.84,0.31,Purk2
CNTNAP5,0.00,0.00,1.41,0.90,0.48,Purk2
CLMP,0.00,0.00,1.86,0.62,0.06,Purk2
SNTG1,0.00,0.00,1.25,0.94,0.60,Purk2
RP11-886D15.1,0.00,0.00,1.73,0.55,0.04,Purk2
RYR1,0.00,0.00,1.73,0.58,0.05,Purk2
KIT,0.00,0.00,1.65,0.55,0.04,Purk2
DLGAP1,0.00,0.00,0.93,0.96,0.77,Purk2
NRXN3,0.00,0.00,0.90,0.97,0.83,Purk2
PHACTR2,0.00,0.00,1.68,0.65,0.11,Purk2
SRRM3,0.00,0.00,1.48,0.78,0.27,Purk2
EML5,0.00,0.00,1.63,0.69,0.14,Purk2
NXPH1,0.00,0.00,1.65,0.74,0.16,Purk2
LSAMP,0.00,0.00,0.90,0.95,0.78,Purk2
SLC24A3,0.00,0.00,1.49,0.70,0.14,Purk2
AUTS2,0.00,0.00,1.08,0.87,0.54,Purk2
GRIA4,0.00,0.00,1.08,0.91,0.53,Purk2
ZNF521,0.00,0.00,1.41,0.56,0.08,Purk2
TFAP2B,0.00,0.00,1.23,0.28,0.01,Purk2
CLSTN2,0.00,0.00,1.44,0.70,0.21,Purk2
BTBD11,0.00,0.00,1.50,0.55,0.09,Purk2
GALNT14,0.00,0.00,1.52,0.53,0.09,Purk2
MYO16,0.00,0.00,1.32,0.59,0.12,Purk2
PLCH1,0.00,0.00,1.29,0.50,0.08,Purk2
DNER,0.00,0.00,1.20,0.61,0.15,Purk2
ZFPM2,0.00,0.00,1.08,0.76,0.29,Purk2
UNC13C,0.00,0.00,1.00,0.70,0.22,Purk2
ADGRB3,0.00,0.00,0.60,0.97,0.84,Purk2
SIPA1L3,0.00,0.00,1.29,0.54,0.12,Purk2
FAM155A,0.00,0.00,0.75,0.92,0.72,Purk2
VAV3,0.00,0.00,1.23,0.46,0.08,Purk2
CA10,0.00,0.00,1.02,0.76,0.30,Purk2
RELN,0.00,0.00,0.75,0.52,0.12,Purk2
TIAM1,0.00,0.00,0.93,0.73,0.26,Purk2
PRKG1,0.00,0.00,1.21,0.68,0.24,Purk2
UTRN,0.00,0.00,1.21,0.50,0.11,Purk2
SYT2,0.00,0.00,1.12,0.35,0.04,Purk2
CACNG2,0.00,0.00,1.17,0.57,0.16,Purk2
CDH22,0.00,0.00,1.23,0.49,0.11,Purk2
CACNA1D,0.00,0.00,1.10,0.67,0.26,Purk2
UNC5D,0.00,0.00,1.02,0.77,0.36,Purk2
SHISA6,0.00,0.00,1.19,0.50,0.11,Purk2
SHANK2,0.00,0.00,1.20,0.60,0.21,Purk2
ADAM12,0.00,0.00,1.00,0.29,0.03,Purk2
EXPH5,0.00,0.00,1.07,0.37,0.05,Purk2
ESRRG,0.00,0.00,0.99,0.71,0.29,Purk2
LRRC4C,0.00,0.00,0.82,0.84,0.50,Purk2
FGF14,0.00,0.00,0.68,0.93,0.69,Purk2
MEGF10,0.00,0.00,0.98,0.36,0.06,Purk2
SGK1,0.00,0.00,0.92,0.57,0.17,Purk2
CSMD1,0.00,0.00,0.57,0.95,0.79,Purk2
AFF3,0.00,0.00,0.98,0.74,0.36,Purk2
ADARB2,0.00,0.00,0.37,0.59,0.22,Purk2
PVALB,0.00,0.00,1.11,0.27,0.03,Purk2
C4orf22,0.00,0.00,1.11,0.40,0.07,Purk2
NLGN1,0.00,0.00,0.71,0.89,0.66,Purk2
ZBTB20,0.00,0.00,0.71,0.80,0.37,Purk2
ZNF423,0.00,0.00,0.98,0.26,0.03,Purk2
GRIK3,0.00,0.00,1.12,0.42,0.09,Purk2
RASSF8,0.00,0.00,0.91,0.35,0.06,Purk2
THSD4,0.00,0.00,1.08,0.34,0.05,Purk2
IQCA1,0.00,0.00,1.14,0.42,0.10,Purk2
RAB3C,0.00,0.00,1.07,0.56,0.18,Purk2
GLCE,0.00,0.00,0.97,0.46,0.12,Purk2
FHOD3,0.00,0.00,1.11,0.50,0.16,Purk2
DNAH14,0.00,0.00,1.08,0.36,0.07,Purk2
DPF3,0.00,0.00,0.98,0.36,0.07,Purk2
RNU6-6P,0.00,0.00,0.97,0.30,0.04,Purk2
XKR4,0.00,0.00,0.92,0.73,0.36,Purk2
SLC6A1,0.00,0.00,0.81,0.51,0.15,Purk2
NBEA,0.00,0.00,0.70,0.85,0.56,Purk2
PRMT8,0.00,0.00,1.06,0.45,0.13,Purk2
KCNMA1,0.00,0.00,0.77,0.79,0.50,Purk2
KCTD8,0.00,0.00,0.82,0.65,0.28,Purk2
RP11-867G2.8,0.00,0.00,1.01,0.31,0.05,Purk2
PPM1L,0.00,0.00,0.91,0.64,0.30,Purk2
DPP6,0.00,0.00,0.67,0.86,0.57,Purk2
RASGEF1B,0.00,0.00,0.93,0.30,0.05,Purk2
ZNF536,0.00,0.00,0.67,0.49,0.17,Purk2
NFIA,0.00,0.00,0.53,0.56,0.22,Purk2
MACROD2,0.00,0.00,0.79,0.77,0.48,Purk2
INADL,0.00,0.00,0.77,0.54,0.20,Purk2
MAML2,0.00,0.00,0.53,0.47,0.17,Purk2
PKP4,0.00,0.00,0.87,0.61,0.26,Purk2
GAD1,0.00,0.00,0.73,0.42,0.12,Purk2
GHR,0.00,0.00,0.93,0.32,0.07,Purk2
XIST,0.00,0.00,0.69,0.45,0.14,Purk2
TCERG1L,0.00,0.00,0.95,0.33,0.07,Purk2
CSMD2,0.00,0.00,0.89,0.59,0.27,Purk2
NOS1,0.00,0.00,0.83,0.25,0.04,Purk2
RGS7BP,0.00,0.00,0.95,0.43,0.13,Purk2
ADAM11,0.00,0.00,0.96,0.37,0.11,Purk2
NOS1AP,0.00,0.00,0.91,0.39,0.11,Purk2
UBASH3B,0.00,0.00,0.70,0.36,0.09,Purk2
NEAT1,0.00,0.00,0.32,0.50,0.22,Purk2
PAK7,0.00,0.00,0.88,0.55,0.23,Purk2
SORBS1,0.00,0.00,0.75,0.69,0.37,Purk2
PTPRZ1,0.00,0.00,0.50,0.39,0.13,Purk2
TANC1,0.00,0.00,0.65,0.25,0.05,Purk2
FRMD3,0.00,0.00,0.89,0.30,0.06,Purk2
ARHGEF10L,0.00,0.00,0.69,0.27,0.06,Purk2
TNR,0.00,0.00,0.59,0.61,0.29,Purk2
PPM1H,0.00,0.00,0.82,0.49,0.19,Purk2
PTPRR,0.00,0.00,0.79,0.54,0.24,Purk2
FRMD4A,0.00,0.00,0.58,0.86,0.62,Purk2
ITGAV,0.00,0.00,0.62,0.29,0.07,Purk2
TRPM3,0.00,0.00,0.44,0.60,0.30,Purk2
RP11-649A16.1,0.00,0.00,0.43,0.26,0.08,Purk2
EPB41,0.00,0.00,0.73,0.38,0.12,Purk2
ATP1A3,0.00,0.00,0.78,0.39,0.13,Purk2
PLCB4,0.00,0.00,0.77,0.43,0.15,Purk2
TRPC5,0.00,0.00,0.79,0.31,0.08,Purk2
HIPK2,0.00,0.00,0.42,0.32,0.11,Purk2
SYNE1,0.00,0.00,0.53,0.79,0.52,Purk2
ERC1,0.00,0.00,0.65,0.67,0.38,Purk2
GALNT13,0.00,0.00,0.63,0.60,0.30,Purk2
SYNDIG1,0.00,0.00,0.68,0.49,0.21,Purk2
SPOCK1,0.00,0.00,0.56,0.68,0.38,Purk2
MLLT4,0.00,0.00,0.82,0.41,0.15,Purk2
CACNA1A,0.00,0.00,0.60,0.73,0.47,Purk2
FUT8,0.00,0.00,0.59,0.49,0.22,Purk2
CADM1,0.00,0.00,0.60,0.59,0.30,Purk2
MAN1A1,0.00,0.00,0.73,0.35,0.12,Purk2
HCN1,0.00,0.00,0.62,0.67,0.38,Purk2
JMJD1C,0.00,0.00,0.50,0.80,0.58,Purk2
TMEM117,0.00,0.00,0.66,0.41,0.16,Purk2
NFIB,0.00,0.00,0.70,0.50,0.22,Purk2
TBC1D4,0.00,0.00,0.79,0.32,0.10,Purk2
KIAA1211,0.00,0.00,0.70,0.31,0.09,Purk2
TPCN1,0.00,0.00,0.59,0.27,0.08,Purk2
GABRA1,0.00,0.00,0.67,0.55,0.28,Purk2
LCORL,0.00,0.00,0.59,0.34,0.12,Purk2
HIVEP3,0.00,0.00,0.60,0.58,0.31,Purk2
APPL2,0.00,0.00,0.56,0.29,0.09,Purk2
LINC00969,0.00,0.00,0.68,0.37,0.14,Purk2
LRRC49,0.00,0.00,0.69,0.36,0.13,Purk2
PTPN4,0.00,0.00,0.69,0.52,0.26,Purk2
MIR325HG,0.00,0.00,0.62,0.28,0.09,Purk2
ELMOD1,0.00,0.00,0.68,0.41,0.18,Purk2
FAM135B,0.00,0.00,0.67,0.37,0.15,Purk2
SPOCK2,0.00,0.00,0.73,0.36,0.14,Purk2
CNR1,0.00,0.00,0.45,0.25,0.08,Purk2
CEP126,0.00,0.00,0.72,0.40,0.17,Purk2
MYT1L,0.00,0.00,0.53,0.76,0.52,Purk2
EGFEM1P,0.00,0.00,0.52,0.29,0.10,Purk2
PCCA,0.00,0.00,0.58,0.41,0.18,Purk2
ZNF608,0.00,0.00,0.59,0.28,0.09,Purk2
FSTL5,0.00,0.00,0.34,0.50,0.26,Purk2
PHYHIPL,0.00,0.00,0.49,0.44,0.22,Purk2
VWA8,0.00,0.00,0.56,0.44,0.20,Purk2
DGKH,0.00,0.00,0.66,0.29,0.10,Purk2
APBA1,0.00,0.00,0.64,0.43,0.19,Purk2
ADCY8,0.00,0.00,0.56,0.31,0.11,Purk2
GALNTL6,0.00,0.00,0.28,0.54,0.31,Purk2
PAM,0.00,0.00,0.65,0.50,0.27,Purk2
GAD2,0.00,0.00,0.57,0.27,0.09,Purk2
PPP4R4,0.00,0.00,0.69,0.26,0.08,Purk2
JARID2,0.00,0.00,0.58,0.33,0.13,Purk2
SORL1,0.00,0.00,0.53,0.44,0.21,Purk2
NKAIN2,0.00,0.00,0.29,0.80,0.57,Purk2
MTUS1,0.00,0.00,0.38,0.27,0.11,Purk2
MSI2,0.00,0.00,0.31,0.36,0.17,Purk2
DSCAML1,0.00,0.00,0.54,0.49,0.26,Purk2
FHIT,0.00,0.00,0.44,0.54,0.30,Purk2
RALGPS1,0.00,0.00,0.47,0.37,0.16,Purk2
AC024560.3,0.00,0.00,0.71,0.30,0.11,Purk2
SCLT1,0.00,0.00,0.61,0.46,0.23,Purk2
GRIN2B,0.00,0.00,0.51,0.63,0.39,Purk2
CYTH1,0.00,0.00,0.40,0.28,0.12,Purk2
DGCR5,0.00,0.00,0.58,0.46,0.24,Purk2
MIR99AHG,0.00,0.00,0.38,0.61,0.38,Purk2
CPEB4,0.00,0.00,0.65,0.47,0.25,Purk2
MPPED2,0.00,0.00,0.59,0.28,0.11,Purk2
SLC8A1,0.00,0.00,0.38,0.69,0.45,Purk2
KLF12,0.00,0.00,0.47,0.46,0.25,Purk2
SIK3,0.00,0.00,0.28,0.65,0.43,Purk2
FAM184A,0.00,0.00,0.51,0.28,0.11,Purk2
SLC4A8,0.00,0.00,0.56,0.39,0.19,Purk2
EPHB1,0.00,0.00,0.53,0.36,0.16,Purk2
SCAF11,0.00,0.00,0.41,0.39,0.19,Purk2
NRG2,0.00,0.00,0.51,0.32,0.14,Purk2
CNKSR2,0.00,0.00,0.44,0.58,0.36,Purk2
MDGA2,0.00,0.00,0.38,0.74,0.52,Purk2
DYNC1I1,0.00,0.00,0.54,0.54,0.32,Purk2
MSRA,0.00,0.00,0.48,0.61,0.39,Purk2
PTPRB,0.00,0.00,0.56,0.25,0.10,Purk2
GALNT18,0.00,0.00,0.52,0.45,0.24,Purk2
MYO6,0.00,0.00,0.34,0.44,0.25,Purk2
RNF115,0.00,0.00,0.36,0.32,0.15,Purk2
KANSL1,0.00,0.00,0.40,0.48,0.28,Purk2
LRCH1,0.00,0.00,0.45,0.25,0.10,Purk2
KCNQ1OT1,0.00,0.00,0.45,0.45,0.25,Purk2
NLGN4X,0.00,0.00,0.46,0.40,0.21,Purk2
GPHN,0.00,0.00,0.43,0.76,0.59,Purk2
ATP1B1,0.00,0.00,0.50,0.60,0.40,Purk2
TRIM9,0.00,0.00,0.44,0.66,0.47,Purk2
ERC2,0.00,0.00,0.38,0.67,0.46,Purk2
LRBA,0.00,0.00,0.52,0.38,0.19,Purk2
CCDC136,0.00,0.00,0.39,0.32,0.15,Purk2
HPCAL4,0.00,0.00,0.49,0.26,0.11,Purk2
SLC12A5,0.00,0.00,0.56,0.38,0.20,Purk2
MAP3K13,0.00,0.00,0.53,0.39,0.21,Purk2
CUX2,0.00,0.00,0.41,0.34,0.17,Purk2
ZFYVE28,0.00,0.00,0.55,0.36,0.18,Purk2
SCN1A,0.00,0.00,0.35,0.49,0.30,Purk2
ADRBK2,0.00,0.00,0.47,0.36,0.18,Purk2
TTBK2,0.00,0.00,0.48,0.36,0.18,Purk2
CCDC91,0.00,0.00,0.38,0.36,0.20,Purk2
GALNT7,0.00,0.00,0.52,0.25,0.10,Purk2
GABRG2,0.00,0.00,0.46,0.38,0.21,Purk2
CAPZB,0.00,0.00,0.48,0.25,0.11,Purk2
OSBP2,0.00,0.00,0.46,0.45,0.26,Purk2
SLC38A1,0.00,0.00,0.37,0.32,0.17,Purk2
SORCS3,0.00,0.00,0.43,0.35,0.18,Purk2
MTCL1,0.00,0.00,0.39,0.33,0.17,Purk2
AUH,0.00,0.00,0.33,0.28,0.14,Purk2
NIN,0.00,0.00,0.51,0.42,0.23,Purk2
RALGAPA2,0.00,0.00,0.40,0.28,0.13,Purk2
SPATS2L,0.00,0.00,0.31,0.34,0.19,Purk2
TNRC6B,0.00,0.00,0.36,0.58,0.38,Purk2
CAMTA1,0.00,0.00,0.41,0.65,0.46,Purk2
AHI1,0.00,0.00,0.38,0.70,0.52,Purk2
TSPAN5,0.00,0.00,0.36,0.52,0.33,Purk2
PTCHD4,0.00,0.00,0.48,0.27,0.13,Purk2
UPF3B,0.00,0.00,0.29,0.28,0.15,Purk2
KLHL5,0.00,0.00,0.40,0.25,0.12,Purk2
MED13L,0.00,0.00,0.36,0.43,0.26,Purk2
TNRC6A,0.00,0.00,0.38,0.51,0.33,Purk2
PSD3,0.00,0.00,0.27,0.49,0.32,Purk2
PTPRT,0.00,0.00,0.42,0.48,0.29,Purk2
CLASP1,0.00,0.00,0.37,0.43,0.26,Purk2
RCAN2,0.00,0.00,0.42,0.45,0.28,Purk2
PBX1,0.00,0.00,0.38,0.48,0.30,Purk2
SUZ12P1,0.00,0.00,0.41,0.46,0.27,Purk2
C2CD5,0.00,0.00,0.53,0.38,0.21,Purk2
TIMM23B,0.00,0.00,0.26,0.30,0.17,Purk2
KIAA1456,0.00,0.00,0.38,0.29,0.15,Purk2
CNTN4,0.00,0.00,0.25,0.60,0.41,Purk2
GPATCH8,0.00,0.00,0.43,0.52,0.34,Purk2
CAMK4,0.00,0.00,0.31,0.44,0.28,Purk2
DGKI,0.00,0.00,0.39,0.50,0.33,Purk2
VPS45,0.00,0.00,0.31,0.28,0.15,Purk2
PARK2,0.00,0.00,0.38,0.49,0.32,Purk2
FAM168A,0.00,0.00,0.39,0.39,0.23,Purk2
ST8SIA1,0.00,0.00,0.33,0.26,0.14,Purk2
PHC2,0.00,0.00,0.36,0.25,0.13,Purk2
GRID1,0.00,0.00,0.45,0.43,0.26,Purk2
CNNM2,0.00,0.00,0.33,0.28,0.15,Purk2
OLFM3,0.00,0.00,0.27,0.43,0.27,Purk2
EFR3A,0.00,0.00,0.37,0.32,0.18,Purk2
